3000/058,XING YONG TRANDING,07-3535777,,07-3535777,"50,JALAN SETIA 3/6,","TAMAN SETIA INDAH,","81100 JOHOR BAHRU,",JOHOR.
3000/059,SMART CALL TELECOMMUNICATION,,016-7833636,,"12,JALAN SUTERA,","TAMAN SENTOSA,",80150 JOHOR BAHRU.,
3000/060,RING MOBILE,07-8611348,,,"6,JALAN ARA 19,","TAMAN DESA CEMERLANG,","81800 ULU TIRAM,",JOHOR.
3000/061,LK TELECOMMUNICATION,,016-7170501,,"20,JALAN TEMBIKAI 8,","81700 PASIR GUDANG,",JOHOR.,
3000/062,LYY TELEMART,,019-2619844,,"NO.227,229,JALAN SIMBANG,","TAMAN PERLING,","81200 JOHOR BAHRU,",JOHOR.
3000/063,E COM TERNITY MOBILE SHOP,07-2551255,,,"NO.14,JALAN MAWAR,","81750 MASAI,",JOHOR.,
3000/064,TOP BEST,,012-7684769,,"NO.26, JALAN JELATANG 15/1,","TAMAN MEGAH RIA,",81750 MASAI.,
3000/065,VELO CITY MOBILE&ENTERPRISE,07-3348313,016-7791180,,"LEVEL 2,K2-11,PERLANGI LEISURE MALL,","JLN SERAMPANG, TMN PELANGI 80400,","JOHOR BAHRU,",JOHOR.
3000/066,LINE CONNECTION,,,,"NO.14, JALAN PERMAS 4/3,","BANDAR BARU PERMAS JAYA,","81750 JOHOR BAHRU,",JOHOR.
3000/067,V THREE ENTERPRISE,016-7612000,016-7112111,,"NO,28,JALAN PERDAGANGAN,","TAMAN NUSA DAMAI,","81700 PASIR GUDANG,",JOHOR.
3000/068,LUCKY WORLD ENTERPRISE,AMOS,0167904556,,19 JALAN SETIA 3/4,TAMAN SETIA INDAH,,
3000/069,CS LINK 3,,013-7755244,,"NO.3,JALAN BACANG 36,","TAMAN KOTA MASAI,","81700 PASIR GUDANG,",JOHOR.
3000/070,GIANT HANDPHONE SHOP,07-8632996,019-7106006,07-8631989,"NO.28,JALAN JOHAR 4,","TAMAN DESA CEMERLANG,","81800 ULU TIRAM,",JOHOR.
3000/071,SHING STAR FASHION&TRADING,,012-7652328,,"NO.36,JLN CANTIK 1,","TMN PELANGI INDAH,","81800 ULU TIRAM,",JOHOR.
3000/072,PERMAS BEST,,012-7979799,,"NO.01-12,BLOK S,","JALAN PERMAS 7,","BANDAR BARU PERMAS JAYA,","81750 MASAI, JOHOR."
3000/073,T&B MINI PHONE TELECOMMUNICATION,07-5217415,,,"NO.42-01,JALAN PENDIDIKAN 3,","TAMAN UNIVERSITI,","81300 SKUDAI,","JOHOR BAHRU,JOHOR."
3000/074,K&C TELESHOP,,016-7001223,,"17,JALAN INDAH 16/8,","TAMAN BUKIT INDAH,","81200 JOHOR BAHRU,",JOHOR.
3000/075,STARHUB TELESHOP,,,,"NO.6,JALAN TASEK 61,","BANDAR BARU SERI ALAM,","81750 MASAI,",JOHOR BAHRU.
3000/076,JCY TELESHOP,013-7479966,07-7914034,,,,,
3000/077,FIRST LINE,,016-7228899,,"3,JALAN PERMAS 4/4,","BANDAR BARU PERMAS JAYA,","81750 MASAI,",JOHOR.
3000/078,V FIVE TELECOMMUNICATION,,,,"NO.75,JALAN SRI ORKID 17,","TAMAN SRI ORKID,","81300 SKUDAI,",JOHOR.
3000/079,HK TELECOMMUNICATIONS,,012-7266663,,"G-06,BLOK E,JALAN JELATANG 4,","TAMAN CAHAYA KOTA PUTRI,","81750 MASAI,",JOHOR.
3000/080,SL COMPUTING & COMMUNICATION TECHNOLOGY,,07-8611994,,"NO.16,JALAN RAWA5,","TAMAN DESA CEMERLANG,","81800 ULU TIRAM,",JOHOR.
3000/081,MEI MEI SHOES ENTERPRISE,,,,"NO.4,JALAN BAYAN 37/1,","TAMAN MEGA RIA,","81750 JOHOR BAHRU,",JOHOR.
3000/082,SHINY TELECOMMNUICATION,,,,"NO.31,JALAN BADIK 16,","TAMAN PUTERI WANGSA,","81800 ULU TIRAM,",JOHOR.
3000/083,MY FIRST COMMUNICATION,,07-8619709,,"LOT 6618-A1,JALAN DUKU,","TAMAN TIRAM BAHRU,","81800 ULU TIRAM,",JOHOR.
3000/084,E ONE MOBILE,,,,,,,
3000/085,STAR NET TELECOMMUNICATION,,016-7221025,,"9,JALAN TERATAI,","TAMAN JOHOR JAYA,","81100 JOHOR BAHRU,",JOHOR.
3000/086,HP TELESHOP TRADING,,,,"M2,LOT 6618A,","JALAN DUKU,","81800 ULU TIRAM,",JOHOR.
3000/087,STAR LIGHT TELECOMMUNICATIONS,,019-7985999,,"NO.41, JALAN TEMBIKAI,","TAMAN KOTA MASAI,","81750 PASIR GUDANG,",JOHOR.
3000/088,BADMAN ENTERPRISE,016-7110451,016-7110401,,"15,JALAN PERMAS 10/7,","BANDAR BARU PERMAS JAYA,","81750 MASAI,",JOHOR.
3000/089,CEL STAR MOBILE,,016-7888867,,"LG43,LOWER GROUND FLOOR,","TODAY'S MALL,","81800 ULU TIRAM,",JOHOR.
3000/090,Y TWO K PHONE SHOP,,019-7302626,,"53,JLN SULAIMAN,","86800 MERSING,",JOHOR.,
3000/091,GOLDEN LAND PHOTO ENTERPRISE,,,,"80,JLN RAMBUTAN,","TAMNA TIRAN BARU,","81800 ULU TIRAM,",JOHOR.
3000/092,GEREEK COMMUNICATION,,,,"NO.24,SUSUR LARKIN PERDANA 2,","LARKIN PERDANA,","80350 JOHOR BAHRU,JOHOR.",
3000/093,C&I TELESHOP,,,,"34,JALAN SAGU 8,","TAMAN DAYA,","81100 JOHOR BAHRU,",JOHOR.
3000/094,STAR UP COMMUNICATION,,,,"NO.7,JALAN PERMAS 9/5,","BANDAR BARU PERMAS JAYA,","81750 JOHOR BAHRU,JOHOR.",
3000/095,U TWO MOBILE SERVICE,,016-7288288,,"KIOSK19,EXHIBITION HAll-level 1,(U-MALL)","JALAN PULAI UTAMA,","81300 KANGKAR PULAI,",JOHOR.
3000/096,PJ TELE TRADING,,,,"29,JALAN PERMAS 1/3,","BANDAR BARU PERMAS JAYA,","81750 MASAI,",JOHOR.
3000/097,AZ MOBILE(002),AH BANG,016-9443020,,"LOT 6618A JALAN DUKE,","ULU TIRAM,",81800 JOHOR.,
3000/098,SANTEE TRADING,,07-2361870,,"NO.40,JALAN PADI 2,","BANDAR BARU UDA,","81200 JOHOR BAHRU,",JOHOR.
3000/099,TOP ONE TRADING,,07-8635525,,"NO.49,JALAN CANGGIH 2,","TAMAN PERINDUSTRIAN CEMERLANG,","81800 ULU TIRAM,",JOHOR.
3000/100,LNS BEST LINK MARKETING,,,,"LOT 43,L1,PSY YOS 8/B 81700,","PSY YOS 8/B 81700,","TMN KOTA MASAI,",JOHOR.
3000/101,AZ MOBILE(003),,,,"101 JLN SUTERA,","TMN SENTOSA,",80150 JOHOR.,
3000/102,AZ MOBILE(004),,,,"NO.43,JALAN ASLI 17,","TAMAN PASIR PUTIH,","PASIR GUDANG,",81700 JOHOR BAHRU.
3000/103,K FANTASY ENTERPRISE,,012-7288511,,"G-73,JALAN DATO SULAIMAN,","HOLIDAY PLAZA,","TAMAN CENTURY GARDEN,","JOHOR BAHRU,JOHOR."
3000/104,JF MOBILE &SERVICE CENTRE,,016-7159003,,"LOT W111,W110 PUTERI MART,","JLN BELADAU 5,","TAMAN PUTERI WANGSA,","81800 ULU TIRAM,"
3000/105,A TO Z TELECOMMUNICATIONS&SERVICES,,07-8839899,,"L1-46,PLAZA KOTA TINGGI,","JALAN TUN SRI LANANG,","81900 KOTA TINGGI,",JOHOR.
3000/106,MAYBE MOBILE,,,,"NO.2,JALAN PERKASA 3,","TAMAN UNGKU TUN AMINAH,","81300 SKUDAI,",JOHOR.
3000/107,GAN MOBILE,,013-7388888,07-2565155,"153,JALAN CENDANA 1,","TAMAN RINTING,","81750 MASAI,",JOHOR.
3000/108,AVEXCOM MOBILE,,019-7368336,,"NO.16,JALAN KESUM,","TAMAN ISTIMEWA,PANDAN,","81100 JOHOR BAHRU,",JOHOR.
3000/109,96 NINETY SIX MOBILE,,017-6434437,,"31 JALAN TANJONG 1,","TAMAN DESA CEMERLANG,","81800 ULU TIRAM,",JOHOR.
3000/110,BWH MOBILE TELESHOP,,012-7886667,,"NO:44,BLOK B2,","PUSAT PERNIAGAAN,","TAMAN DAHLIA,",81200 JOHOR BAHRU.
3000/111,BEST GEREEK COMMUNICATION,,,,"NO.24,SUSUR LARKINPERDANA 2,","LARKIN PERDANA,","80350 JOHOR BAHRU,",JOHOR.
3000/112,PERFECT MOBILE,,,,,,,
3000/113,I BEST MOBILE TELECOMMUNICATION,,010-8807080,,"47,JALAN JELATANG 27,","TAMAN MEGAH RIA,","81750 MASAI,",JOHOR.
3000/114,HIN LEE TELESHOP,,,,"NO.8,JALAN HARMONI 3/2,","TAMAN DESA HARMONI,",81100 JOHOR BAHRU.,
3000/115,WONDERPHONE SHOP,,,,"154, JALAN SRI PELANGI,","TAMAN PELANGI,","80400 JOHOR BAHRU,",JOHOR.
3000/116,JL MOBILE COMMUNICATION,,,,"LOT A-15,S'MART BUILDING,","JALAN KOTA TINGGI,","BATU 7 1/2,","81100 JOHOR BAHRU,JOHOR."
3000/117,EC TELESHOP,,07-3874457,,"NO.47D,JALAN PERMAS 4,","TAMAN PERMAS JAYA,","81750 JOHOR BAHRU,",JOHOR.
3000/118,SNC COMMUNICATION,,019-7886888,,"NO.5,JALAN KENAGA 4,","TAMAN DESA CEMERLANG,","81800 ULU TIRAM,",JOHOR.
3000/119,HENG GLOBAL TELESHOP,,,,"NO.15,JALAN SRI BAHAGIA 5,","TAMAN SRI BAHAGIA,","81200 JOHOR BAHRU,",JOHOR.
3000/120,BEN TRADING & SERVICE,,,,"97-B, JALAN DUKU,","TAMAN TIRAM,","81800 ULU TIRAM,",JOHOR.
3000/121,LC MOBILE,,07-2349367,,"LEVEL 1,K1.18","PLAZA ANGSANA,",81200 JOHOR BAHRU.,
3000/122,SP MOBILE & SERVICE CENTRE,,07-8612380,,"NO.74,JALAN RAMBUTAN,","TAMAN TIRAM BARU,","81800 ULU TIRAM,",JOHOR.
3000/123,E XIN MOBILE,,,,,,,
3000/124,AZ MOBILE(005),,013-7383337,,"55,JALAN SETIA TROPIKA,","1/25 TAMAN SETIA TROPIKA,","81300 SKUDAI,",JOHOR.
3000/125,SSW MOBILE&TRADING,,016-2065111,,"NO4,JALAN ANGGERIK 2/4,","TAMAN ANGGERIK,","81200 JOHOR BAHRU,",JOHOR.
3000/126,APPLE SKY REPAIR&ACCESSORIES,,010-4128188,,,,,
3000/127,GK PNONE SDN BHD,,,,"L2-51,KOMPLEKS PUSAT BANDAR,",81700 PASIR GUDANG.,,
3000/129,WEE ADVANCE COMMUNICATION,,,,"NO.6,JALAN KEMULIAAN 3,","TAMAN UNIVERSITI,","81300 SKUDAI,",JOHOR.
3000/130,CW MOBILE,,,,"NO.86,JALAN PERDAGANGAN 3,","TAMAN UNIVERSITI,","81300 SKUDAI,",JOHOR.
3000/131,TOP ONE TRADING ULU TIRAM,,07-8635525,,"NO.49,JALAN CANGGIH 2,","TAMAN PERINDUSTRIAN CEMERLANG,","81800 ULU TIRAM,",JOHOR.
3000/133,JIA HOE ENTERPISE,,07-25113288,,"13,JALAN BACANG 36,","TAMAN KOTAI MASAI,","81700 PASIR GUDANG,",JOHOR.
3000/134,PENG AUTO,,,,,,,
3000/135,GK PHONE SDN BHD,,,,"L2-51,KOMPLEKS PUSAT BANDAR,","81700 PASIR GUDANG,",JOHOR.,
3000/136,SJ MOBILE SHOP,,,016-7336033,"NO.16,JALAN PERKASA 3,","TAMAN UNGKU AMINAH,","81300 SKUDAI,",JOHOR.
3000/137,HONG TRADING ENTERPRISE,,,,"NO.31,JALAN BUKIT INDAH 10/1,","TAMAN BUKIT INDAH,","79100 NUSA JAYA,",JOHOR.
3000/138,CHAN COMMUNICATION,,,,"66,JALAN SENA 9,","TAMAN RINTING,","81750 MASAI,",JOHOR.
3000/139,SB MOBILE ENTERPRISE,,,,,,,
3000/140,HENG HENG MOBILE,,07-3541697,,"LOT 596, JALAN PERSIARAN SAUJANA,","TAMAN SAUJANA,","8110 JOHOR BAHRU,",JOHOR.
3000/141,ID VISUAL COMMUNICATION,,016-7255020,,"3,JALAN NJM 1/1,","TAMAN NUSA JAYA MAS,","81300 JOHOR BAHRU,",JOHOR.
3000/142,TOP BEST TELESHOP,,012-7294334,,"12,JALAN JELATANGV 15,","TAMAN MEGAH RIA,","81750 MASAI,",JOHOR.
3000/143,PRO XL MOBILE PHONE&ACCESSORIES,,,,"NO.4,JALAN TASEK 61,","BANDAR SRI ALAM,","81750 MASAI,",JOHOR.
3000/144,DT MOBILE COMMUNICATION,,,,"BATU 16, KAMPUNG SUNGAI TIRAM,","81800 ULU TIRAM,",JOHOR.,
3000/145,OLC TELECOMMUNICATION,,010-8883324,,"NO.23,JALAN PERSISIRAN PERLING 1,","TAMAN PERLING,","81200 JOHOR BAHRU,",JOHOR.
9999/999,DESMOND,,,,,,,
